IRMS=    0.3069A
VRMS=  102.7280V
PMED=107376.0341W
DATA	HORA	CORRENTE	TENSAO		POTENCIA	ENERGIA
13	16	0.400000	108.000000	43.200000	0.000000
14	16	0.300400	108.500000	32.593400	782.241577
15	16	0.205000	108.060000	22.152300	531.655212
16	16	0.359000	107.630000	38.639170	927.340088
17	16	0.200000	107.200000	21.440000	514.559998
18	16	0.300000	106.760000	32.028000	768.671997
19	16	0.400000	106.330000	42.532000	1020.768005
20	16	0.300400	105.900000	31.812360	763.496643
21	16	0.205000	105.460000	21.619300	518.863220
22	16	0.359000	105.030000	37.705770	904.938477
23	16	0.200000	104.600000	20.920000	502.079987
24	16	0.300000	104.160000	31.248000	749.952026
25	16	0.400000	103.730000	41.492000	995.807983
26	16	0.300400	103.300000	31.031320	744.751709
27	16	0.205000	102.860000	21.086300	506.071198
28	16	0.359000	102.430000	36.772370	882.536865
29	16	0.200000	102.000000	20.400000	489.600006
30	16	0.300000	101.560000	30.468000	731.231995
31	16	0.400000	101.100000	40.440000	970.559998
1	16	0.400000	100.780000	40.312000	967.487976
2	16	0.300400	100.360000	30.148144	723.555481
3	16	0.205000	99.940000	20.487700	491.704803
4	16	0.359000	99.530000	35.731270	857.550476
5	16	0.200000	99.110000	19.822000	475.727997
6	16	0.300000	98.690000	29.607000	710.567993
7	16	0.400000	98.000000	39.200000	940.799988
8	16	0.300400	97.850000	29.394140	705.459351
9	16	0.205000	97.430000	19.973150	479.355591
10	16	0.359000	97.010000	34.826590	835.838135
11	16	0.200000	96.590000	19.318000	463.631989
